tra_infr,unit,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
MWAY,KM,TRC1	158 	156 	134 	137 	145 	145 	148 	148 	148 	148 	148 	148 
MWAY,KM,TRC2	104 	109 	121 	146 	146 	146 	146 	146 	146 	146 	146 	146 
MWAY,KM,TRC3	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
MWAY,KM,UKN0	114 	114 	114 	114 	115 	116 	115 	115 	115 	115 	115 	115 
MWAY,KM_TKM2,AT11	17 	22 	22 	22 	22 	22 	22 	22 	22 	20 	20 	21 
MWAY,KM_TKM2,AT12	17 	17 	17 	18 	18 	19 	19 	19 	19 	18 	20 	20 
MWAY,KM_TKM2,AT13	109 	109 	109 	109 	109 	109 	109 	109 	109 	104 	104 	109 
MWAY,KM_TKM2,AT21	26 	26 	26 	26 	26 	26 	26 	26 	26 	25 	25 	26 
MWAY,KM_TKM2,AT22	19 	19 	19 	19 	19 	19 	19 	19 	19 	19 	19 	19 
MWAY,KM_TKM2,AT31	26 	26 	26 	26 	26 	26 	26 	26 	26 	25 	25 	26 
MWAY,KM_TKM2,AT32	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 
MWAY,KM_TKM2,AT33	15 	15 	15 	15 	15 	15 	15 	15 	15 	15 	15 	15 
MWAY,KM_TKM2,AT34	25 	25 	25 	25 	25 	25 	25 	25 	25 	24 	24 	25 
MWAY,KM_TKM2,BE10	70 	70 	70 	71 	70 	70 	70 	70 	70 	70 	70 	68 
MWAY,KM_TKM2,BE21	79 	79 	79 	77 	79 	79 	79 	79 	79 	77 	77 	78 
MWAY,KM_TKM2,BE22	44 	44 	44 	44 	44 	44 	44 	44 	44 	44 	44 	44 
MWAY,KM_TKM2,BE23	66 	66 	66 	66 	66 	66 	66 	66 	66 	66 	66 	66 
MWAY,KM_TKM2,BE24	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 
MWAY,KM_TKM2,BE25	60 	60 	60 	60 	60 	60 	60 	60 	60 	60 	60 	59 
MWAY,KM_TKM2,BE31	57 	57 	57 	58 	57 	57 	57 	57 	57 	57 	57 	57 
